brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,engine_displacement_l,engine_cylinders,transmission_type
Volkswagen,Arteon SEL R-Line,2022,"18,655 mi.",Gasoline,Oryx White Prl,Titan Black,None reported,,"$38,698",2.0,,Automatic
Chevrolet,Suburban 2500 LS,2006,"60,000 mi.",Gasoline,Brown,Brown,At least 1 accident or damage reported,Yes,"$24,950",8.1,8.0,Automatic
Chevrolet,Suburban 1500 LT,2014,"169,500 mi.",E85 Flex Fuel,Purple,Brown,None reported,Yes,"$15,000",5.3,8.0,Automatic
Mitsubishi,Eclipse GS,2008,"189,500 mi.",Gasoline,Red,Black,None reported,Yes,"$6,000",2.4,4.0,Manual
Toyota,Land Cruiser Base,2016,"91,000 mi.",Gasoline,Black,Brown,None reported,Yes,"$68,500",5.7,8.0,Automatic
Genesis,G80 2.5T,2022,"7,396 mi.",Gasoline,Black Forest Green,Black,None reported,,"$41,299",2.5,4.0,Automatic
Toyota,Tundra SR5 Access Cab,2004,"229,450 mi.",Gasoline,Gray,Gray,None reported,Yes,"$8,250",4.7,8.0,Automatic
Maserati,Quattroporte Modena Q4,2023,"8,603 mi.",Gasoline,Blu,Tan,None reported,,"$125,900",3.0,6.0,Automatic
Audi,RS 5 4.2,2014,"49,098 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$44,900",4.2,8.0,Other
Nissan,Rogue S,2022,"21,212 mi.",Gasoline,Gun Metallic,Charcoal,None reported,,"$28,906",1.5,3.0,Automatic
Porsche,Panamera 4S,2010,"62,743 mi.",Gasoline,Silver,Gray,None reported,Yes,"$28,600",4.8,8.0,Other
BMW,M440 i xDrive,2021,"24,300 mi.",Hybrid,Gray,Beige,None reported,Yes,"$49,999",3.0,6.0,Automatic
Cadillac,Escalade Premium,2010,"104,000 mi.",E85 Flex Fuel,Gray,–,None reported,Yes,"$19,500",6.2,8.0,Automatic
Volvo,S60 T6 Momentum,2020,"46,250 mi.",Gasoline,White,Charcoal,At least 1 accident or damage reported,Yes,"$27,800",2.0,4.0,Automatic
Mazda,CX-9 Touring Plus,2023,"1,930 mi.",Gasoline,Jet Black Mica,Black,At least 1 accident or damage reported,Yes,"$40,655",2.5,4.0,Automatic
Chrysler,Pacifica Hybrid Touring L,2022,"61,494 mi.",Hybrid,Bright White Clearcoat,Black,None reported,,"$35,850",3.6,6.0,Automatic
Jeep,Wrangler Unlimited Sport,2020,"24,040 mi.",Gasoline,Black Clearcoat,Black,None reported,Yes,"$35,273",2.0,4.0,Automatic
Toyota,Highlander Base,2001,"231,581 mi.",Gasoline,Beige,Beige,None reported,Yes,"$4,300",3.0,6.0,Automatic
Ford,F-150 Lariat,2019,"81,000 mi.",Gasoline,Gray,Black,None reported,Yes,"$38,500",3.5,6.0,Automatic
Ford,Bronco,1974,"6,217 mi.",–,Dark Gray Metallic,–,None reported,Yes,"$115,000",,,Other
Land,Rover Discovery Sport S R-Dynamic,2022,"23,568 mi.",Gasoline,Firenze Red,Ebony,None reported,,"$44,998",2.0,,Automatic
Mazda,Mazda6 Touring,2020,"78,700 mi.",Gasoline,White,Black,None reported,Yes,"$18,000",2.5,4.0,Automatic
Kia,Optima EX,2015,"109,580 mi.",Gasoline,Red,Black,At least 1 accident or damage reported,Yes,"$11,900",2.4,4.0,Automatic
Lexus,RX 350 Base,2009,"178,000 mi.",Gasoline,Gray,Gray,At least 1 accident or damage reported,Yes,"$4,500",3.5,6.0,Automatic
Mitsubishi,Outlander Sport 2.4 SE,2016,"131,193 mi.",Gasoline,Black,Black,None reported,Yes,"$11,970",2.4,4.0,Automatic
Mercedes-Benz,GLS 450 Base 4MATIC,2017,"106,000 mi.",Gasoline,White,Black,None reported,Yes,"$25,900",3.0,6.0,Automatic
Audi,A3 2.0T Premium,2019,"28,211 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$27,500",2.0,4.0,Other
Audi,A4 2.0T Premium,2015,"91,403 mi.",E85 Flex Fuel,Silver,Gray,None reported,,"$14,998",2.0,4.0,Automatic
Mercedes-Benz,CLA-Class CLA 250,2016,"88,600 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$16,800",2.0,4.0,Automatic
INFINITI,FX50 Base,2011,"84,900 mi.",Gasoline,Silver,Black,,,"$22,450",5.0,8.0,Automatic
Kia,K5 EX,2021,"11,154 mi.",Gasoline,Glacial White Pearl,Black,None reported,,"$28,998",1.6,4.0,Automatic
BMW,X5 eDrive xDrive40e,2018,"45,090 mi.",Plug-In Hybrid,Gray,Black,At least 1 accident or damage reported,Yes,"$30,750",2.0,4.0,Automatic
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,"33,272 mi.",Gasoline,Red,Gray,At least 1 accident or damage reported,Yes,"$11,900",2.3,4.0,Automatic
Jeep,Wrangler SE,2003,"71,000 mi.",Gasoline,Red,Gray,None reported,Yes,"$12,499",2.4,4.0,Manual
Kia,Telluride SX,2020,"55,400 mi.",Gasoline,Green,White,,,"$36,500",3.8,6.0,Automatic
Land,Rover LR4 Lux,2012,"141,525 mi.",Gasoline,Black,Black,None reported,Yes,"$14,490",5.0,8.0,Automatic
Jaguar,XKR Base,2007,"50,000 mi.",Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,"$21,900",4.2,8.0,Other
BMW,M4 Base,2020,"29,140 mi.",Gasoline,Orange,Orange,None reported,Yes,"$71,995",3.0,6.0,Manual
BMW,M340 i xDrive,2022,"9,000 mi.",Hybrid,White,Red,None reported,Yes,"$56,900",3.0,6.0,Automatic
Mercedes-Benz,AMG GLE 53 AMG GLE 53,2021,"5,595 mi.",Hybrid,designo Diamond White Metallic,Black,None reported,,"$83,598",3.0,,Automatic
RAM,1500 Laramie,2022,"34,121 mi.",Gasoline,Granite Crystal Clearcoat Metallic,Black,None reported,,"$48,190",5.7,8.0,Automatic
BMW,ALPINA B7 Base,2013,"36,750 mi.",Gasoline,Black,Black,None reported,Yes,"$35,999",4.4,8.0,Automatic
Mercedes-Benz,C-Class C280 4MATIC,2007,"49,626 mi.",Gasoline,White,–,None reported,Yes,"$12,000",3.0,6.0,Automatic
Jeep,Compass High Altitude,2017,"45,000 mi.",Gasoline,White,Beige,At least 1 accident or damage reported,Yes,"$16,500",2.4,4.0,Automatic
Toyota,Highlander Hybrid XLE,2019,"69,350 mi.",Hybrid,Black,Gray,None reported,Yes,"$36,000",3.5,6.0,Automatic
BMW,X5 M Base,2022,"8,307 mi.",Gasoline,Blue Metallic,Sakhir Orange,None reported,,"$98,900",4.4,8.0,Automatic
BMW,M3 Base,2023,"4,106 mi.",Gasoline,Isle of Man Green Metallic,Kyalami Orange,None reported,Yes,"$84,645",3.0,6.0,Manual
BMW,M3 Base,1999,"184,700 mi.",Gasoline,Blue,Gray,None reported,Yes,"$36,950",3.2,6.0,Manual
Maserati,Quattroporte S Q4 GranLusso,2018,"57,500 mi.",Gasoline,White,Brown,None reported,Yes,"$41,900",3.0,6.0,Automatic
Acura,RDX Advance Package,2021,"29,000 mi.",Gasoline,Black,Black,None reported,Yes,"$39,650",2.0,4.0,Automatic
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,"61,675 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$19,000",2.0,4.0,Other
Mercedes-Benz,Sprinter 3500XD High Roof,2021,"33,300 mi.",Diesel,White,Black,None reported,Yes,"$45,000",3.0,6.0,Automatic
Cadillac,XTS Luxury,2014,"62,950 mi.",Gasoline,Silver,Gray,At least 1 accident or damage reported,Yes,"$17,498",3.6,6.0,Automatic
Chevrolet,Camaro 2LT,2015,"56,675 mi.",Gasoline,Silver,Black,None reported,Yes,"$19,750",3.6,6.0,Other
Porsche,Cayenne S,2013,"92,000 mi.",Gasoline,Green,Gray,None reported,Yes,"$23,000",4.8,8.0,Automatic
Dodge,Magnum R/T,2005,"96,000 mi.",Gasoline,Gray,Gold,At least 1 accident or damage reported,Yes,"$12,000",5.7,8.0,Automatic
INFINITI,Q70 3.7X,2014,"33,500 mi.",Gasoline,Black,Black,None reported,Yes,"$23,000",3.7,6.0,Automatic
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,"16,754 mi.",Gasoline,White,White,None reported,Yes,"$112,000",5.0,8.0,Automatic
Toyota,Camry Hybrid Base,2007,"53,249 mi.",Hybrid,Silver,Gray,At least 1 accident or damage reported,Yes,"$9,250",2.4,4.0,Automatic
GMC,Acadia SLT-1,2016,"119,000 mi.",Gasoline,Gold,Brown,None reported,Yes,"$12,500",3.6,6.0,Automatic
Lincoln,Corsair Reserve,2021,"29,336 mi.",Gasoline,Black,Sandstone,None reported,,"$36,999",2.0,4.0,Automatic
RAM,2500 SLT,2017,"86,000 mi.",Diesel,Gray,Gray,At least 1 accident or damage reported,Yes,"$41,000",6.7,6.0,Automatic
RAM,3500 Laramie,2014,"177,000 mi.",Diesel,Black,–,At least 1 accident or damage reported,Yes,"$40,500",6.7,6.0,Automatic
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,"93,500 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$15,900",4.6,8.0,Automatic
BMW,M5 Base,2018,"47,700 mi.",Gasoline,Red,White,At least 1 accident or damage reported,Yes,"$54,999",4.4,8.0,Automatic
Ford,Mustang SVT Cobra,2003,"97,496 mi.",Gasoline,Gray,Gray,,,"$24,500",4.6,8.0,Manual
Acura,ILX Premium Package,2022,"16,120 mi.",Gasoline,Gray,Ebony,None reported,,"$26,599",2.4,4.0,Automatic
Buick,Rainier CXL,2005,"147,589 mi.",Gasoline,White,Beige,At least 1 accident or damage reported,Yes,"$2,800",4.2,6.0,Automatic
Cadillac,Escalade Luxury,2013,"95,570 mi.",E85 Flex Fuel,Black,Black,At least 1 accident or damage reported,Yes,"$22,000",6.2,8.0,Automatic
Mercedes-Benz,S-Class S 560,2018,"45,791 mi.",Gasoline,Gray,Gray,None reported,Yes,"$52,000",4.0,8.0,Automatic
INFINITI,QX80 Base,2016,"60,000 mi.",Gasoline,Silver,Beige,At least 1 accident or damage reported,Yes,"$25,950",5.6,8.0,Automatic
Buick,Encore Preferred,2019,"50,000 mi.",Gasoline,White,Black,None reported,Yes,"$18,795",1.4,4.0,Automatic
Mercedes-Benz,GLS 450 Base 4MATIC,2019,"33,481 mi.",Gasoline,Black,Almond Beige,None reported,,"$43,999",3.0,6.0,Automatic
Jeep,Liberty Limited,2010,"107,000 mi.",Gasoline,Gray,Gray,None reported,Yes,"$5,900",3.7,6.0,Automatic
Mercedes-Benz,S-Class S 63 AMG,2011,"60,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$37,000",5.5,8.0,Other
Audi,A8 L 3.0T,2016,"55,000 mi.",Gasoline,White,Brown,None reported,Yes,"$28,000",3.0,6.0,Automatic
Mazda,CX-30 2.5 S Select Package,2022,"4,004 mi.",Gasoline,Black,Black,None reported,Yes,"$25,500",2.5,4.0,Automatic
Bentley,Continental GT Speed,2009,"57,800 mi.",Gasoline,Blue,Beige,,,"$59,400",6.0,12.0,Automatic
Bentley,Continental GT V8,2022,"10,972 mi.",Gasoline,Red,Black,None reported,Yes,"$217,950",4.0,8.0,Automatic
Bentley,Flying Spur V8,2022,"27,858 mi.",Gasoline,–,–,None reported,Yes,"$197,750",4.0,8.0,Automatic
Porsche,911 Carrera 4S,2018,"31,678 mi.",Gasoline,Silver,–,None reported,,"$106,798",3.0,,Other
Volkswagen,Golf R 4-Door,2016,"47,144 mi.",Gasoline,Blue,Black,None reported,Yes,"$29,950",2.0,4.0,Manual
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,"165,454 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$4,000",3.8,6.0,Automatic
Ford,F-150 XLT,2018,"98,000 mi.",Gasoline,White,–,At least 1 accident or damage reported,Yes,"$25,500",3.5,6.0,Automatic
Hyundai,Tucson Limited,2020,"39,913 mi.",Gasoline,Black Noir Pearl,Beige,None reported,,"$22,749",2.4,4.0,Automatic
Ford,Mustang V6,2013,"147,191 mi.",Gasoline,Blue,Black,At least 1 accident or damage reported,Yes,"$12,990",3.7,6.0,Automatic
BMW,435 i,2014,"53,600 mi.",Gasoline,Silver,Black,None reported,Yes,"$25,980",3.0,6.0,Automatic
Dodge,Challenger R/T,2010,"100,100 mi.",–,Purple,Black,None reported,Yes,"$17,000",,,Other
Mercedes-Benz,AMG G 63 Base,2020,"1,750 mi.",Gasoline,Blue,Black,None reported,Yes,"$199,995",4.0,8.0,Automatic
Dodge,Challenger SRT Hellcat,2020,"2,750 mi.",Gasoline,Orange,Black,None reported,Yes,"$104,500",6.2,8.0,Automatic
Porsche,Boxster Base,2013,"40,800 mi.",Gasoline,Brown,Beige,None reported,Yes,"$35,500",2.7,6.0,Automatic
Porsche,Macan Base,2018,"36,798 mi.",Gasoline,Volcano Grey Metallic,Black,At least 1 accident or damage reported,Yes,"$49,500",2.0,4.0,Automatic
Ford,F-250 XL,2021,"77,699 mi.",Diesel,White,Medium Earth Gray,,,"$49,883",6.7,8.0,Automatic
Ford,Mustang GT,2010,"87,500 mi.",Gasoline,Red,Black,At least 1 accident or damage reported,Yes,"$14,900",4.6,8.0,Automatic
Chevrolet,Suburban LT,2020,"93,000 mi.",Gasoline,Black,Black,None reported,Yes,"$38,500",5.3,8.0,Automatic
Mercedes-Benz,C-Class C 300 4MATIC,2018,"41,515 mi.",Gasoline,Black,Black,None reported,Yes,"$28,251",2.0,4.0,Automatic
RAM,1500 Classic Warlock,2019,"19,000 mi.",E85 Flex Fuel,Diamond Black,Diesel Gray / Black,At least 1 accident or damage reported,,"$33,242",3.6,6.0,Automatic
Toyota,Sequoia SR5,2023,"1,539 mi.",Hybrid,Green,Boulder,At least 1 accident or damage reported,Yes,"$76,373",3.4,6.0,Automatic
BMW,M5 Base,2018,"31,090 mi.",Gasoline,Green,Black,At least 1 accident or damage reported,Yes,"$68,000",4.4,8.0,Automatic
Mazda,Mazda3 FWD w/Premium Package,2022,"21,701 mi.",Gasoline,Soul Red Crystal Metallic,Black,None reported,,"$25,099",2.5,4.0,Automatic
Nissan,Rogue SL,2016,"97,726 mi.",Gasoline,Gun Metallic,Charcoal,At least 1 accident or damage reported,,"$15,998",2.5,,Other
Audi,A7 3.0T Prestige,2015,"73,000 mi.",Diesel,White,Gray,None reported,Yes,"$34,000",3.0,6.0,Automatic
Genesis,G80 3.8,2020,"23,600 mi.",Gasoline,Blue,Gray,None reported,Yes,"$31,900",3.8,6.0,Automatic
Rolls-Royce,Ghost Base,2016,"8,755 mi.",Gasoline,Black,Black,None reported,Yes,"$166,900",6.6,12.0,Automatic
BMW,M6 Gran Coupe Base,2019,"20,500 mi.",Gasoline,Blue,Black,None reported,Yes,"$67,900",4.4,8.0,Other
Ford,Mustang V6,2013,"57,912 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$18,750",3.7,6.0,Manual
BMW,650 i,2009,"35,000 mi.",Gasoline,Black,Black,None reported,Yes,"$18,500",4.8,8.0,Automatic
Nissan,Leaf SV PLUS,2023,"7,089 mi.",,Black,Black,At least 1 accident or damage reported,Yes,"$29,895",,,Automatic
Lincoln,MKC Reserve,2019,"35,469 mi.",Gasoline,Black,–,,,"$30,890",2.3,4.0,Automatic
Kia,Telluride EX,2022,"14,676 mi.",Gasoline,Dark Moss,Gray,None reported,,"$46,787",3.8,6.0,Automatic
Lincoln,Navigator Reserve,2022,"13,750 mi.",Gasoline,White,Beige,None reported,Yes,"$79,999",3.5,6.0,Automatic
Mercedes-Benz,S-Class S 550 4MATIC,2015,"13,300 mi.",Gasoline,Black,Black,None reported,Yes,"$62,500",4.7,8.0,Automatic
Chevrolet,Suburban LT,2017,"117,000 mi.",Gasoline,Blue,Beige,None reported,Yes,"$27,000",6.0,8.0,Automatic
Audi,A7 55 Premium,2020,"27,100 mi.",Hybrid,White,Black,None reported,Yes,"$50,000",3.0,6.0,Automatic
Ford,Mustang EcoBoost Premium,2017,"89,352 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$20,989",2.3,4.0,Automatic
Chevrolet,Cruze LS,2018,"100,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$8,500",1.4,4.0,Automatic
Land,Rover Range Rover HSE SWB,2020,"16,000 mi.",Hybrid,Silver,Black,None reported,Yes,"$75,500",3.0,6.0,Automatic
Land,Rover Defender S,2023,"15,200 mi.",Gasoline,White,Black,None reported,Yes,"$62,999",2.0,4.0,Automatic
BMW,650 i,2012,"39,960 mi.",Gasoline,White,Brown,None reported,Yes,"$38,995",4.4,8.0,Manual
Ford,Mustang Base,2008,"119,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$13,500",4.0,6.0,Automatic
Kia,K5 GT-Line,2022,"10,971 mi.",Gasoline,Passion Red,Black,None reported,,"$29,998",1.6,4.0,Automatic
Mazda,Mazda3 i Touring,2014,"118,500 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$11,500",2.0,4.0,Manual
Kia,Stinger GT1,2021,"8,288 mi.",Gasoline,Black,Black,None reported,Yes,"$45,899",3.3,6.0,Automatic
Chevrolet,Camaro ZL1,2023,"2,950 mi.",Gasoline,Red,Gray,None reported,Yes,"$74,500",6.2,8.0,Automatic
Mercedes-Benz,AMG G 63 Base,2017,"73,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$78,000",5.5,8.0,Automatic
Ford,Thunderbird Premium,2005,"82,000 mi.",Gasoline,Gold,White,None reported,Yes,"$14,900",3.9,8.0,Other
Audi,e-tron Prestige,2019,"7,874 mi.",,Typhoon Gray Metallic,Pearl Beige,None reported,,"$38,999",,,Automatic
GMC,Sierra 1500 SLT,2017,"49,105 mi.",Gasoline,White,Black,None reported,Yes,"$39,750",6.2,8.0,Automatic
Kia,Telluride LX,2023,"5,500 mi.",Gasoline,Silver,Black,None reported,Yes,"$40,000",3.8,6.0,Automatic
Chevrolet,Corvette Base,2005,"36,700 mi.",Gasoline,Blue,Black,None reported,Yes,"$26,000",6.0,8.0,Manual
BMW,650 i,2014,"40,000 mi.",Gasoline,White,Beige,None reported,Yes,"$34,000",4.4,8.0,Other
Nissan,Rogue SL,2017,"78,110 mi.",Gasoline,Silver,Black,,,"$17,500",2.5,4.0,Automatic
GMC,Acadia Denali,2015,"74,864 mi.",Gasoline,Gray,Beige,None reported,Yes,"$19,780",3.6,6.0,Automatic
Cadillac,Escalade Premium Luxury Platinum,2021,"15,350 mi.",Gasoline,Black,Black,None reported,Yes,"$93,500",6.2,8.0,Automatic
Nissan,GT-R Premium,2010,"46,100 mi.",Gasoline,Blue,Black,None reported,Yes,"$72,999",3.8,6.0,Automatic
Toyota,Highlander XLE,2018,"61,454 mi.",Gasoline,Silver,Gray,None reported,Yes,"$31,000",3.5,6.0,Automatic
BMW,X7 xDrive40i,2020,"45,241 mi.",Gasoline,Blue,Brown,None reported,Yes,"$54,500",3.0,6.0,Automatic
INFINITI,QX60 Base,2018,"48,000 mi.",Gasoline,Black,Black,None reported,Yes,"$27,000",3.5,6.0,Other
Lexus,IS 250C Base,2010,"68,500 mi.",Gasoline,Black,Beige,None reported,Yes,"$18,500",2.5,6.0,Manual
GMC,Sierra 1500 Denali,2019,"43,433 mi.",Gasoline,Onyx Black,Walnut,None reported,,"$51,899",5.3,8.0,Automatic
Chevrolet,SSR Base,2005,"122,961 mi.",Gasoline,Redline Red,Ebony,None reported,Yes,"$20,995",6.0,8.0,Automatic
Dodge,Challenger R/T,2014,"92,861 mi.",Gasoline,Gray,Red,None reported,Yes,"$19,750",5.7,8.0,Automatic
Hyundai,Equus Signature,2016,"72,000 mi.",Gasoline,White,Beige,None reported,Yes,"$21,400",5.0,8.0,Automatic
Lamborghini,Aventador SVJ Base,2019,"6,929 mi.",Gasoline,Blue,Black,None reported,Yes,"$649,999",6.5,12.0,Automatic
Ford,Mustang GT,2003,"83,000 mi.",Gasoline,Gray,Black,None reported,Yes,"$10,500",4.6,8.0,Automatic
Audi,e-tron Premium,2021,"18,031 mi.",,Navarra Blue Metallic,Black,None reported,,"$39,599",,,Automatic
Toyota,Sequoia Limited,2023,"8,200 mi.",Hybrid,Brown,Black,None reported,Yes,"$78,900",3.4,6.0,Automatic
Land,Rover Range Rover Sport HST MHEV,2020,"19,000 mi.",Hybrid,Silver,Black,,,"$74,900",3.0,6.0,Other
Jeep,Grand Cherokee L Limited,2022,"12,875 mi.",Gasoline,Diamond Black,Global Black,None reported,,"$42,599",3.6,6.0,Automatic
Maserati,GranTurismo Sport,2015,"32,000 mi.",Gasoline,Beige,Brown,None reported,Yes,"$36,000",4.7,8.0,Automatic
BMW,M5 Base,2013,"61,145 mi.",Gasoline,White,Beige,At least 1 accident or damage reported,Yes,"$37,500",4.4,8.0,Automatic
Mercedes-Benz,C-Class 4MATIC Sedan,2022,"9,612 mi.",Gasoline,–,–,None reported,,"$43,900",2.0,,Automatic
Land,Rover Range Rover Sport First Edition,2023,"3,534 mi.",Hybrid,Red,Black,None reported,,"$143,998",4.4,,Automatic
Ford,F-150 Lariat,2011,"152,000 mi.",Gasoline,Brown,Beige,None reported,Yes,"$14,000",3.5,6.0,Automatic
Audi,A4 2.0T Premium,2012,"129,567 mi.",Gasoline,White,Black,None reported,Yes,"$7,000",2.0,4.0,Automatic
BMW,540 i xDrive,2019,"36,000 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$41,995",3.0,6.0,Automatic
BMW,X6 xDrive35i,2009,"92,008 mi.",Gasoline,White,Black,None reported,Yes,"$12,500",3.0,6.0,Automatic
Ford,Mustang Base,1998,"63,900 mi.",Gasoline,White,Gray,None reported,Yes,"$10,300",3.8,6.0,Automatic
Toyota,Sequoia Limited,2012,"150,900 mi.",Gasoline,Black,Gray,None reported,Yes,"$17,500",5.7,8.0,Automatic
Dodge,Challenger R/T Scat Pack,2019,"43,000 mi.",–,Green,Black,None reported,Yes,"$50,000",,,Manual
Land,Rover Range Rover 3.0L Supercharged,2018,"38,020 mi.",Gasoline,White,Espresso,None reported,,"$63,998",5.0,,Automatic
Audi,Q8 55 Premium Plus,2021,"14,750 mi.",Hybrid,Silver,Black,None reported,Yes,"$61,059",3.0,6.0,Other
Subaru,WRX Base,2015,"52,500 mi.",Gasoline,Gray,Black,None reported,Yes,"$23,000",2.0,4.0,Manual
Chevrolet,Suburban LT,2017,"207,571 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$21,000",5.3,8.0,Automatic
INFINITI,QX60 Pure,2020,"39,000 mi.",Gasoline,Gray,Gray,None reported,Yes,"$29,900",3.5,6.0,Automatic
Porsche,Cayman Base,2011,"66,000 mi.",Gasoline,Black,Brown,,,"$28,000",2.9,6.0,Automatic
INFINITI,QX60 Base,2017,"93,500 mi.",Gasoline,Black,Black,None reported,Yes,"$16,000",3.5,6.0,Automatic
BMW,M4 Base,2018,"7,200 mi.",Gasoline,Black,Black,None reported,Yes,"$64,000",3.0,6.0,Automatic
Maserati,MC20 MC20,2022,"1,220 mi.",Gasoline,–,–,None reported,,"$238,900",3.0,,Automatic
Land,Rover Defender SE,2023,"8,421 mi.",Hybrid,Black,White,None reported,Yes,"$90,000",3.0,6.0,Automatic
BMW,M8 Base,2020,"25,520 mi.",Gasoline,Brands Hatch Gray Metallic,Black,None reported,,"$84,900",4.4,8.0,Automatic
Tesla,Model Y Performance,2020,"30,554 mi.",,Blue,Black,None reported,,"$41,999",,,Automatic
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,"17,000 mi.",,Gray,Blue,None reported,Yes,"$54,900",,,Automatic
Mercedes-Benz,SL-Class SL 550,2011,"41,314 mi.",Gasoline,Red,White,At least 1 accident or damage reported,Yes,"$30,999",5.5,8.0,Other
Land,Rover Range Rover P525 HSE SWB,2020,"49,899 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$64,500",5.0,8.0,Other
Ford,Escape XLT,2012,"186,268 mi.",E85 Flex Fuel,Blue,Black,None reported,Yes,"$4,500",3.0,6.0,Automatic
Lexus,ES 350 Base,2016,"51,335 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$25,995",3.5,6.0,Automatic
Porsche,718 Boxster GTS,2019,"10,400 mi.",Gasoline,Gray,Black,None reported,Yes,"$99,750",2.5,4.0,Automatic
Mercedes-Benz,G-Class G 550,2020,"20,622 mi.",Gasoline,designo Diamond White Metallic,Black,None reported,,"$142,998",4.0,,Automatic
RAM,1500 Big Horn,2022,"19,376 mi.",Gasoline,Bright White Clearcoat,Black,None reported,Yes,"$45,861",5.7,8.0,Automatic
Audi,R8 5.2 V10 performance,2020,"12,245 mi.",Gasoline,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,None reported,,"$187,900",5.2,10.0,Automatic
Mitsubishi,Lancer Evolution IX,2006,"77,000 mi.",Gasoline,Silver,Black,None reported,Yes,"$57,000",2.0,4.0,Manual
Acura,TL Technology,2013,"40,000 mi.",Gasoline,Blue,Gray,None reported,Yes,"$24,000",3.5,6.0,Automatic
Cadillac,CTS Luxury,2012,"113,000 mi.",Gasoline,White,Beige,None reported,Yes,"$10,000",3.0,6.0,Automatic
Chevrolet,Camaro 1SS,2022,"7,600 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$46,000",6.2,8.0,Manual
Toyota,Camry Hybrid LE,2022,"20,400 mi.",Hybrid,White,Gray,None reported,Yes,"$29,900",2.5,4.0,Other
Ford,Transit-350 XLT,2019,"115,000 mi.",Gasoline,White,Gray,None reported,Yes,"$39,000",3.5,6.0,Automatic
Lexus,RX 450h Base,2012,"239,000 mi.",Hybrid,Black,Black,None reported,Yes,"$7,000",3.5,6.0,Automatic
Jaguar,F-TYPE V6 S,2014,"62,194 mi.",Gasoline,Black,Black,None reported,,"$32,998",3.0,,Automatic
Jeep,Wrangler Sahara,2020,"22,138 mi.",Gasoline,Black,Black,None reported,,"$38,598",3.6,,Automatic
Porsche,718 Boxster S,2017,"48,900 mi.",Gasoline,Blue,Black,None reported,Yes,"$62,500",2.5,4.0,Other
Audi,R8 5.2,2014,"21,800 mi.",Gasoline,White,Black,None reported,Yes,"$117,000",5.2,10.0,Other
Lincoln,MKZ Base,2016,"68,200 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$16,750",3.7,6.0,Automatic
Chevrolet,S-10 LS Crew Cab,2001,"139,000 mi.",Gasoline,Red,Gray,None reported,Yes,"$7,000",4.3,6.0,Automatic
Mercedes-Benz,G-Class G 550 4MATIC,2021,"76,100 mi.",Gasoline,Black,Black,None reported,Yes,"$130,000",4.0,8.0,Automatic
Lexus,RX 350 RX 350 F SPORT Handling,2022,"14,330 mi.",Gasoline,Black,Red,None reported,,"$54,998",3.5,,Automatic
BMW,750 i xDrive,2019,"41,906 mi.",Gasoline,Blue,White,At least 1 accident or damage reported,Yes,"$45,999",4.4,8.0,Automatic
Chevrolet,Camaro 2SS,2016,"164,000 mi.",Gasoline,Black,Red,None reported,Yes,"$21,500",6.2,8.0,Automatic
Ford,Fusion Hybrid SE,2013,"161,933 mi.",Hybrid,Blue,Charcoal Black,None reported,Yes,"$7,945",2.0,4.0,Automatic
Hyundai,Santa Cruz 2.5T Limited,2022,"22,829 mi.",Gasoline,Hampton Gray,Black,None reported,,"$34,580",2.5,4.0,Automatic
Lexus,RX 350 F Sport,2023,"5,483 mi.",Gasoline,Ultra White,Black,None reported,,"$59,950",2.4,4.0,Automatic
Land,Rover Range Rover Evoque S,2020,"46,891 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$31,000",2.0,4.0,Automatic
